customer_id,signup_date,age,gender,city,education_level,employment_status,monthly_income,monthly_bill,internet_usage_gb,call_minutes,contract_type,support_tickets,customer_feedback,churn
10081,2019-03-22,37,Female,Lahore,Bachelor,Employed,50724.0,2313.0,26.2,71.0,6-Month,3,Too expensive compared to competitors,1
10082,2019-03-23,68,Female,Gujranwala,Bachelor,Self-Employed,17303.0,3473.0,12.9,222.0,Monthly,4,Customer support was helpful,1
10083,2019-03-24,36,Male,Karachi,Bachelor,Student,18686.0,5438.0,14.0,47.0,6-Month,1,Satisfied with the service,0
10084,2019-03-25,39,Female,Multan,PhD,Employed,59333.0,2798.0,14.8,154.0,Monthly,1,Happy with data packages,0
10085,2019-03-26,21,Female,Sialkot,Secondary,Employed,26115.0,4965.0,54.1,237.0,Monthly,1,Satisfied with the service,0
10086,2019-03-27,29,Male,Peshawar,Bachelor,Employed,79544.0,4555.0,29.9,62.0,Monthly,2,Too expensive compared to competitors,1
10087,2019-03-28,65,Male,Islamabad,Primary,Self-Employed,25704.0,2585.0,31.3,273.0,Monthly,3,Coverage is poor in my location,1
10088,2019-03-29,34,Male,Islamabad,Primary,Employed,16395.0,7480.0,26.4,145.0,Monthly,2,Coverage is poor in my location,1
10089,2019-03-30,30,Female,Peshawar,PhD,Employed,25793.0,11526.0,13.1,464.0,Monthly,1,Billing issues occurred multiple times,1
10090,2019-03-31,47,Female,Quetta,Bachelor,Self-Employed,35870.0,12849.0,4.9,120.0,12-Month,0,Frequent call drops in my area,0
10091,2019-04-01,61,Female,Sialkot,Secondary,Unemployed,45150.0,2453.0,13.8,170.0,Monthly,1,Too expensive compared to competitors,0
10092,2019-04-02,59,Female,Quetta,Secondary,Employed,15623.0,6073.0,17.0,71.0,Monthly,0,Too expensive compared to competitors,0
10093,2019-04-03,27,Female,Multan,Master,Student,13766.0,3410.0,15.8,648.0,12-Month,3,Happy with data packages,1
10094,2019-04-04,30,Male,Quetta,Secondary,Self-Employed,24196.0,3774.0,5.1,206.0,12-Month,0,Too expensive compared to competitors,0
10095,2019-04-05,21,Male,Sialkot,Master,Student,24818.0,2727.0,6.5,202.0,Monthly,2,Customer support was helpful,1
10096,2019-04-06,64,Female,Islamabad,Bachelor,Self-Employed,49289.0,9464.0,9.0,268.0,Monthly,0,Internet speed is very slow,0
10097,2019-04-07,32,Male,Hyderabad,Primary,Employed,28581.0,2112.0,10.3,186.0,6-Month,1,Satisfied with the service,0
10098,2019-04-08,38,Female,Hyderabad,Primary,Employed,55937.0,8955.0,17.3,171.0,12-Month,0,Billing issues occurred multiple times,0
10099,2019-04-09,33,Female,Islamabad,PhD,Student,34042.0,13495.0,19.1,150.0,12-Month,0,Frequent call drops in my area,0
10100,2019-04-10,53,Female,Rawalpindi,Bachelor,Self-Employed,59436.0,4193.0,55.7,73.0,6-Month,2,Satisfied with the service,0
10101,2019-04-11,66,Female,Faisalabad,Bachelor,Self-Employed,113240.0,2275.0,20.0,263.0,Monthly,2,Happy with data packages,1
10102,2019-04-12,22,Female,Sialkot,Primary,Employed,13378.0,13330.0,8.6,129.0,6-Month,2,Internet speed is very slow,1
10103,2019-04-13,61,Male,Sialkot,Master,Self-Employed,21309.0,5727.0,8.8,95.0,Monthly,1,Frequent call drops in my area,1
10104,2019-04-14,26,Female,Lahore,Primary,Employed,36295.0,1990.0,21.4,73.0,Monthly,1,Frequent call drops in my area,0
10105,2019-04-15,44,Female,Quetta,Secondary,Employed,49482.0,3029.0,14.6,240.0,Monthly,1,Customer support was helpful,0
10106,2019-04-16,61,Male,Gujranwala,Secondary,Employed,15652.0,8581.0,37.0,91.0,6-Month,0,Customer support was helpful,0
10107,2019-04-17,65,Male,Faisalabad,Master,Employed,27702.0,2951.0,13.9,263.0,Monthly,2,Internet speed is very slow,1
10108,2019-04-18,41,Male,Multan,Master,Employed,15009.0,7622.0,16.3,155.0,12-Month,0,Customer support was helpful,0
10109,2019-04-19,31,Male,Sialkot,PhD,Self-Employed,17958.0,3231.0,51.2,104.0,6-Month,1,Frequent call drops in my area,0
10110,2019-04-20,68,Male,Hyderabad,Secondary,Student,10407.0,4740.0,13.3,120.0,Monthly,0,Customer support was helpful,0
10111,2019-04-21,57,Female,Quetta,Primary,Employed,12188.0,4110.0,32.1,140.0,Monthly,0,Too expensive compared to competitors,0
10112,2019-04-22,21,Male,Hyderabad,Bachelor,Employed,27978.0,9000.0,28.6,297.0,Monthly,1,Happy with data packages,1
10113,2019-04-23,47,Male,Sialkot,Secondary,Self-Employed,60045.0,3363.0,15.7,123.0,12-Month,2,Coverage is poor in my location,0
10114,2019-04-24,30,Male,Karachi,Master,Self-Employed,10324.0,1692.0,11.0,88.0,6-Month,1,Coverage is poor in my location,0
10115,2019-04-25,30,Male,Gujranwala,Master,Student,19461.0,12560.0,11.4,152.0,Monthly,1,Too expensive compared to competitors,1
10116,2019-04-26,33,Female,Gujranwala,Master,Self-Employed,18695.0,8486.0,21.7,187.0,Monthly,0,Happy with data packages,0
10117,2019-04-27,47,Female,Peshawar,Bachelor,Student,17538.0,4803.0,25.4,116.0,12-Month,1,Billing issues occurred multiple times,0
10118,2019-04-28,26,Female,Karachi,Secondary,Employed,77054.0,1858.0,17.6,167.0,12-Month,0,Network quality is good overall,0
10119,2019-04-29,56,Female,Hyderabad,Bachelor,Employed,40444.0,16217.0,13.1,165.0,Monthly,0,Network quality is good overall,0
10120,2019-04-30,24,Female,Gujranwala,Primary,Student,15874.0,6916.0,14.9,76.0,6-Month,6,Frequent call drops in my area,1
10121,2019-05-01,39,Female,Sialkot,Primary,Self-Employed,93189.0,5244.0,29.4,245.0,6-Month,2,Happy with data packages,0
10122,2019-05-02,62,Male,Gujranwala,Bachelor,Employed,66446.0,1788.0,21.3,89.0,Monthly,2,Coverage is poor in my location,1
10123,2019-05-03,45,Female,Faisalabad,Secondary,Employed,20576.0,4549.0,21.2,173.0,6-Month,1,Service is unreliable during peak hours,0
10124,2019-05-04,25,Female,Peshawar,Primary,Employed,20533.0,4617.0,18.3,212.0,6-Month,0,Service is unreliable during peak hours,0
10125,2019-05-05,35,Female,Faisalabad,Secondary,Self-Employed,33098.0,5626.0,26.4,259.0,6-Month,2,Customer support was helpful,0
10126,2019-05-06,60,Male,Sialkot,Secondary,Self-Employed,52331.0,8305.0,25.2,201.0,12-Month,3,Happy with data packages,1
10127,2019-05-07,65,Male,Lahore,Primary,Student,31660.0,2305.0,16.8,134.0,Monthly,0,Too expensive compared to competitors,0
10128,2019-05-08,23,Male,Hyderabad,Bachelor,Retired,31735.0,2384.0,16.3,176.0,Monthly,2,Internet speed is very slow,1
10129,2019-05-09,54,Female,Rawalpindi,Primary,Self-Employed,9524.0,6952.0,35.4,145.0,Monthly,0,Billing issues occurred multiple times,0
10130,2019-05-10,59,Female,Lahore,Bachelor,Unemployed,209790.0,6269.0,31.5,242.0,12-Month,2,Frequent call drops in my area,0
10131,2019-05-11,59,Male,Hyderabad,Bachelor,Student,37437.0,7440.0,24.4,365.0,12-Month,3,Customer support was helpful,1
10132,2019-05-12,47,Male,Sialkot,Secondary,Student,48281.0,2377.0,12.5,124.0,6-Month,0,Network quality is good overall,0
10133,2019-05-13,44,Female,Quetta,Secondary,Employed,18211.0,6198.0,31.1,93.0,6-Month,0,Customer support was helpful,0
10134,2019-05-14,18,Female,Islamabad,Bachelor,Employed,16381.0,4662.0,31.6,226.0,Monthly,2,Coverage is poor in my location,1
10135,2019-05-15,40,Male,Hyderabad,PhD,Employed,27981.0,6094.0,8.2,451.0,12-Month,1,Customer support was helpful,0
10136,2019-05-16,52,Female,Hyderabad,Secondary,Self-Employed,28573.0,2266.0,10.4,276.0,12-Month,1,Customer support was helpful,0
10137,2019-05-17,30,Male,Peshawar,Master,Employed,11605.0,8396.0,1.6,132.0,Monthly,1,Customer support was helpful,1
10138,2019-05-18,24,Male,Peshawar,Secondary,Employed,24028.0,5775.0,35.0,254.0,Monthly,2,Frequent call drops in my area,1
10139,2019-05-19,58,Female,Multan,Secondary,Unemployed,29439.0,5404.0,14.5,76.0,6-Month,1,Satisfied with the service,0
10140,2019-05-20,52,Female,Sialkot,Master,Employed,9368.0,6267.0,22.4,136.0,12-Month,2,Coverage is poor in my location,1
10141,2019-05-21,60,Female,Islamabad,Secondary,Self-Employed,16443.0,6860.0,7.9,471.0,12-Month,2,Network quality is good overall,1
10142,2019-05-22,64,Female,Islamabad,PhD,Employed,23275.0,4714.0,19.8,234.0,12-Month,0,Service is unreliable during peak hours,0
10143,2019-05-23,67,Female,Faisalabad,Secondary,Employed,37143.0,24523.0,15.8,159.0,Monthly,0,Billing issues occurred multiple times,0
10144,2019-05-24,47,Male,Quetta,Master,Employed,46534.0,10319.0,18.3,220.0,6-Month,1,Satisfied with the service,0
10145,2019-05-25,56,Female,Hyderabad,Bachelor,Employed,18732.0,8315.0,15.7,71.0,Monthly,1,Billing issues occurred multiple times,1
10146,2019-05-26,60,Female,Gujranwala,Master,Unemployed,7202.0,1997.0,10.4,110.0,6-Month,2,Happy with data packages,0
10147,2019-05-27,35,Male,Multan,Master,Unemployed,24998.0,3551.0,24.2,230.0,Monthly,3,Service is unreliable during peak hours,1
10148,2019-05-28,23,Female,Peshawar,Secondary,Employed,88098.0,4574.0,5.9,161.0,Monthly,2,Internet speed is very slow,1
10149,2019-05-29,33,Male,Islamabad,Bachelor,Employed,24257.0,4576.0,40.9,251.0,Monthly,2,Network quality is good overall,1
10150,2019-05-30,67,Female,Rawalpindi,Bachelor,Employed,23477.0,5591.0,23.3,271.0,Monthly,0,Customer support was helpful,0
10151,2019-05-31,30,Female,Hyderabad,Secondary,Student,18277.0,5458.0,8.0,81.0,Monthly,0,Happy with data packages,0
10152,2019-06-01,59,Female,Islamabad,Master,Self-Employed,18602.0,3047.0,16.7,236.0,Monthly,3,Satisfied with the service,1
10153,2019-06-02,58,Male,Rawalpindi,Bachelor,Student,17879.0,12440.0,13.4,148.0,12-Month,0,Too expensive compared to competitors,0
10154,2019-06-03,46,Male,Rawalpindi,Secondary,Retired,47776.0,3828.0,13.1,205.0,Monthly,1,Internet speed is very slow,0
10155,2019-06-04,65,Female,Peshawar,Secondary,Student,14459.0,4754.0,12.8,100.0,6-Month,0,Happy with data packages,0
10156,2019-06-05,55,Female,Faisalabad,PhD,Student,39634.0,1676.0,42.4,137.0,Monthly,1,Frequent call drops in my area,0
10157,2019-06-06,27,Female,Lahore,Secondary,Employed,31732.0,4182.0,22.4,44.0,6-Month,0,Customer support was helpful,0
10158,2019-06-07,41,Female,Karachi,Master,Employed,15715.0,6592.0,36.7,178.0,Monthly,1,Coverage is poor in my location,1
10159,2019-06-08,39,Male,Quetta,Master,Retired,18261.0,2898.0,11.7,63.0,Monthly,0,Billing issues occurred multiple times,0
10160,2019-06-09,22,Female,Quetta,Bachelor,Employed,34130.0,2886.0,6.8,166.0,12-Month,2,Billing issues occurred multiple times,0
10161,2019-06-10,45,Male,Gujranwala,Master,Unemployed,42626.0,8451.0,10.2,305.0,Monthly,0,Coverage is poor in my location,0
10162,2019-06-11,30,Male,Sialkot,Bachelor,Self-Employed,101321.0,4395.0,18.3,345.0,Monthly,2,Internet speed is very slow,1
10163,2019-06-12,59,Male,Peshawar,Secondary,Self-Employed,57483.0,1880.0,24.6,250.0,Monthly,0,Happy with data packages,0
10164,2019-06-13,29,Female,Peshawar,Primary,Unemployed,19186.0,4326.0,23.5,570.0,12-Month,3,Coverage is poor in my location,1
10165,2019-06-14,24,Female,Rawalpindi,Master,Employed,48829.0,8008.0,9.7,127.0,Monthly,0,Satisfied with the service,0
10166,2019-06-15,51,Male,Hyderabad,Secondary,Unemployed,28401.0,3166.0,11.0,241.0,Monthly,0,Service is unreliable during peak hours,0
10167,2019-06-16,39,Male,Gujranwala,Primary,Employed,18021.0,5931.0,13.2,188.0,Monthly,0,Service is unreliable during peak hours,0
10168,2019-06-17,39,Male,Rawalpindi,Master,Employed,10194.0,5569.0,39.3,85.0,Monthly,2,Internet speed is very slow,1
10169,2019-06-18,48,Female,Islamabad,Master,Self-Employed,14964.0,5269.0,37.1,69.0,6-Month,2,Coverage is poor in my location,1
10170,2019-06-19,61,Male,Islamabad,Secondary,Employed,62298.0,3142.0,9.2,70.0,12-Month,2,Network quality is good overall,0
10171,2019-06-20,46,Male,Quetta,Bachelor,Self-Employed,47235.0,5095.0,26.2,192.0,12-Month,2,Internet speed is very slow,0
10172,2019-06-21,69,Male,Islamabad,Master,Student,14788.0,7689.0,1.7,223.0,Monthly,3,Billing issues occurred multiple times,1
10173,2019-06-22,30,Female,Peshawar,Secondary,Student,46690.0,6184.0,2.2,74.0,Monthly,1,Billing issues occurred multiple times,1
10174,2019-06-23,30,Male,Faisalabad,Secondary,Employed,32051.0,4764.0,11.2,124.0,6-Month,0,Coverage is poor in my location,0
10175,2019-06-24,63,Female,Sialkot,Secondary,Self-Employed,17015.0,6741.0,27.8,331.0,12-Month,1,Network quality is good overall,0
10176,2019-06-25,54,Male,Lahore,Master,Self-Employed,10667.0,6701.0,30.3,135.0,6-Month,2,Internet speed is very slow,1
10177,2019-06-26,25,Female,Karachi,Master,Unemployed,11560.0,9469.0,14.8,120.0,Monthly,2,Satisfied with the service,1
10178,2019-06-27,39,Male,Rawalpindi,PhD,Student,15486.0,14378.0,15.0,217.0,12-Month,2,Network quality is good overall,1
10179,2019-06-28,59,Female,Faisalabad,Master,Employed,41757.0,10964.0,12.6,128.0,12-Month,1,Customer support was helpful,0
10180,2019-06-29,56,Female,Quetta,Bachelor,Employed,8168.0,6424.0,18.4,236.0,6-Month,1,Billing issues occurred multiple times,0
10181,2019-06-30,33,Female,Faisalabad,Bachelor,Employed,50706.0,6536.0,20.1,189.0,Monthly,0,Frequent call drops in my area,0
10182,2019-07-01,61,Male,Sialkot,Bachelor,Employed,25113.0,9319.0,24.3,155.0,12-Month,2,Coverage is poor in my location,1
10183,2019-07-02,36,Female,Rawalpindi,Bachelor,Student,17992.0,6450.0,20.3,92.0,Monthly,1,Coverage is poor in my location,1
10184,2019-07-03,46,Male,Rawalpindi,Bachelor,Employed,55587.0,1840.0,10.2,74.0,Monthly,0,Coverage is poor in my location,0
10185,2019-07-04,34,Male,Quetta,Bachelor,Employed,11468.0,4720.0,36.4,197.0,Monthly,0,Billing issues occurred multiple times,0
10186,2019-07-05,23,Female,Karachi,Secondary,Self-Employed,41775.0,3219.0,7.4,124.0,6-Month,0,Coverage is poor in my location,0
10187,2019-07-06,53,Male,Karachi,Master,Student,30161.0,15431.0,17.8,429.0,6-Month,2,Frequent call drops in my area,1
10188,2019-07-07,31,Female,Peshawar,Secondary,Retired,25918.0,7945.0,15.5,95.0,Monthly,0,Satisfied with the service,0
10189,2019-07-08,50,Male,Faisalabad,Bachelor,Unemployed,14264.0,4779.0,5.0,152.0,Monthly,0,Customer support was helpful,0
10190,2019-07-09,41,Female,Rawalpindi,Bachelor,Employed,18293.0,5020.0,19.0,152.0,6-Month,1,Billing issues occurred multiple times,0
10191,2019-07-10,49,Male,Gujranwala,Secondary,Employed,26889.0,2992.0,29.3,98.0,6-Month,1,Customer support was helpful,0
10192,2019-07-11,51,Female,Faisalabad,Master,Employed,26073.0,15506.0,11.1,122.0,12-Month,1,Happy with data packages,0
10193,2019-07-12,63,Female,Hyderabad,Master,Employed,16639.0,14157.0,14.2,56.0,Monthly,1,Internet speed is very slow,1
10194,2019-07-13,58,Female,Rawalpindi,Master,Employed,11164.0,2987.0,43.7,201.0,12-Month,1,Too expensive compared to competitors,0
10195,2019-07-14,45,Female,Hyderabad,Secondary,Employed,38716.0,6773.0,20.3,95.0,12-Month,2,Network quality is good overall,0
10196,2019-07-15,32,Female,Rawalpindi,Bachelor,Retired,29294.0,7666.0,13.4,155.0,12-Month,1,Too expensive compared to competitors,0
10197,2019-07-16,63,Female,Islamabad,Primary,Unemployed,19445.0,4156.0,9.7,224.0,12-Month,1,Coverage is poor in my location,0
10198,2019-07-17,59,Female,Lahore,Bachelor,Employed,50318.0,8347.0,10.1,108.0,12-Month,1,Internet speed is very slow,0
10199,2019-07-18,60,Female,Peshawar,Secondary,Unemployed,39249.0,3796.0,7.5,200.0,12-Month,0,Too expensive compared to competitors,0
10200,2019-07-19,50,Male,Sialkot,Master,Employed,32634.0,1894.0,26.3,405.0,12-Month,3,Network quality is good overall,1
10201,2019-07-20,52,Female,Quetta,PhD,Employed,25993.0,9790.0,2.5,141.0,Monthly,2,Customer support was helpful,1
10202,2019-07-21,49,Male,Peshawar,Master,Unemployed,19115.0,2886.0,36.1,207.0,6-Month,2,Frequent call drops in my area,0
10203,2019-07-22,66,Male,Islamabad,Master,Employed,12090.0,6550.0,26.6,226.0,6-Month,1,Satisfied with the service,0
10204,2019-07-23,56,Male,Faisalabad,Bachelor,Employed,47585.0,8910.0,19.6,253.0,Monthly,0,Service is unreliable during peak hours,0
